id,price,year,manufacturer,condition,fuel,odometer
372,18500,2014,ram,good,gas,144101
373,7850,2012,volkswagen,like new,gas,89500
374,13995,2011,acura,excellent,gas,64425
375,39000,1972,dodge,like new,gas,1000
376,9500,2012,honda,excellent,gas,85000
377,25841,2014,ram,excellent,diesel,86564
378,11304,2012,buick,excellent,gas,129342
379,21871,2016,lincoln,like new,gas,68926
380,17383,2010,jeep,like new,gas,128598
381,21341,2019,jeep,like new,gas,46905
382,4999,2010,toyota,good,gas,134918
383,23000,2017,toyota,excellent,hybrid,12600
384,41785,2016,ford,excellent,diesel,146863
385,33570,2015,jeep,excellent,gas,19331
386,12279,2014,ford,like new,gas,11503
387,17995,2019,nissan,new,gas,28604
388,34477,2018,lincoln,like new,gas,9567
389,31470,2020,audi,like new,gas,32975
390,5400,1996,ram,good,gas,226000
391,22313,2014,ford,excellent,gas,99640
392,35000,2017,mercedes-benz,like new,gas,52053
393,40590,2019,ram,good,gas,16931
394,36990,2013,mercedes-benz,good,gas,56553
395,21590,2019,volkswagen,good,gas,7898
396,75000,2018,audi,like new,gas,19435
397,35590,2017,ram,good,gas,22401
398,42590,2015,mercedes-benz,good,gas,24048
399,15200,2017,jeep,excellent,gas,83000
400,2900,1999,bmw,fair,gas,136000
401,25000,2000,ford,like new,diesel,110000
402,9981,2014,ford,excellent,gas,106700
403,28990,2019,acura,good,gas,5736
404,5500,2009,chevrolet,excellent,gas,110000
405,13679,2015,bmw,excellent,gas,93218
406,14349,2013,cadillac,excellent,gas,65568
407,20590,2015,volkswagen,good,gas,43470
408,7600,2005,mercedes-benz,good,gas,105000
409,20000,2002,honda,good,gas,124000
410,12999,2013,ford,excellent,gas,168000
411,3674,2010,chevrolet,excellent,gas,217077
412,19873,2011,toyota,like new,gas,91879
413,30990,2018,acura,good,gas,34605
414,32990,2017,acura,good,gas,29322
415,7541,2005,chevrolet,excellent,gas,233010
416,27590,2016,acura,good,gas,40762
417,17500,2015,subaru,excellent,gas,101200
418,3995,2009,kia,excellent,gas,103049
419,3995,2005,volvo,excellent,gas,142040
420,22641,2019,gmc,new,gas,44943
421,30451,2015,gmc,new,gas,88585
422,5200,2012,ram,excellent,gas,205000
423,9500,1998,ram,good,gas,75000
424,16871,2019,chevrolet,like new,gas,45584
425,20871,2020,mitsubishi,like new,gas,9393
426,21590,2017,infiniti,good,gas,36926
427,2000,2002,gmc,fair,gas,145631
428,18590,2018,hyundai,good,gas,20890
429,25995,2015,ram,excellent,gas,115489
430,2000,2005,chevrolet,fair,gas,213596
431,40990,2018,mercedes-benz,good,gas,54431
432,13500,2016,jeep,good,gas,77529
433,37900,2020,toyota,excellent,gas,27500
434,6500,2004,mercedes-benz,good,gas,114000
435,18500,1978,mercedes-benz,excellent,gas,55000
436,11849,2013,ford,excellent,gas,58971
437,35590,2018,audi,good,gas,28162
438,33590,2017,audi,good,gas,14318
439,30990,2018,lexus,good,hybrid,27205
440,3862,2008,pontiac,excellent,gas,216178
441,9000,2016,gmc,excellent,gas,144926
442,19704,2015,gmc,excellent,gas,78179
443,40990,2014,chevrolet,good,gas,53263
444,16590,2014,toyota,good,gas,82584
445,5831,2004,chevrolet,excellent,gas,222884
446,23990,2015,cadillac,good,gas,62050
447,33990,2017,dodge,good,gas,11087
448,25995,2014,chevrolet,excellent,gas,105100
449,10820,2013,ford,excellent,gas,92319
450,4800,2011,chevrolet,like new,gas,154000
451,26990,2017,dodge,good,gas,34039
452,8500,2013,cadillac,good,gas,152820
453,33500,2019,buick,like new,gas,15000
454,14410,2013,lincoln,excellent,gas,65481
455,15160,2015,chrysler,excellent,gas,88785
456,23590,2018,ford,good,gas,24957
457,20900,2015,lincoln,excellent,gas,96000
458,9838,2015,ford,excellent,gas,103917
459,38590,2012,chevrolet,good,gas,32086
460,29990,2017,jeep,good,gas,26965
461,19177,2015,ram,excellent,diesel,112821
462,11760,2012,dodge,excellent,gas,43031
463,19389,2013,ford,excellent,gas,105941
464,12839,2010,toyota,excellent,gas,230990
465,26990,2017,infiniti,good,gas,40529
466,30990,2019,lincoln,good,gas,25786
467,3915,2008,jeep,excellent,gas,209256
468,15800,2000,pontiac,excellent,gas,56000
469,34990,2020,cadillac,good,gas,12666
470,14990,2015,honda,good,gas,77726
471,6931,2010,chrysler,excellent,gas,112098
472,14966,2013,ram,excellent,gas,135680
473,6700,2010,gmc,good,gas,86000
474,27841,2017,lexus,like new,gas,34591
475,12486,2014,honda,like new,gas,156171
476,19871,2019,honda,like new,gas,36682
477,21321,2020,ford,like new,gas,1203
478,24768,2016,ram,excellent,diesel,120242
479,15990,2018,volkswagen,good,gas,42060
480,39995,2019,lincoln,like new,gas,13078
481,41590,2019,ram,good,gas,44925
